225,358;672,904;0,969;;
219,583;680,98;0,99;;
215,175;687,737;1,004;;
211,772;692,304;1,02;;
208,321;696,905;1,036;;
204,921;700,079;1,074;;
203,228;702,591;1,092;;
200,5;703,5;1,155;;
206,134;705,067;1,179;;
208,587;705;1,193;;
211,274;705;1,207;;
214,682;705;1,221;;
218,042;705;1,24;;
223,611;705;1,258;;
235,848;705;1,271;;
246,47;703,948;1,288;;
256,364;704;1,305;;
275,853;704;1,326;;
288,246;704;1,339;;
304,372;704;1,36;;
320,556;704,621;1,377;;
335,213;705;1,388;;
354,06;706,784;1,405;;
369,46;708,035;1,434;;
388,698;710,141;1,451;;
402,403;711,243;1,466;;
417,94;711,62;1,477;;
432,518;711;1,489;;
447,638;710,383;1,505;;
460,411;709,259;1,525;;
475,339;709;1,544;;
485,657;708,038;1,556;;
492,656;708;1,572;;
499,453;706,758;1,592;;
509,011;708,376;1,612;;
