455,679;456,321;0,719;
426,781;479,451;0,755;
396,78;505,17;0,785;
369,049;530,487;0,82;
357,777;539,455;0,856;
319,139;576,344;0,891;
297,014;600,986;0,946;
252,703;644,239;0,965;
244,076;653,924;0,976;
235,183;661,362;0,993;
226,21;669,79;1,009;
219,229;677,733;1,05;
213,398;684,401;1,141;
187;707;1,181;
186,742;709,774;1,217;
191,079;708,307;1,245;
198,873;709,392;1,297;
241,721;706,962;1,347;
304,313;704,605;1,386;
343,081;703,328;1,396;
363,709;703;1,408;
382,901;703;1,432;
401,588;703;1,454;
415,877;703;1,519;
457,546;705,637;1,541;
466,543;706;1,557;
472,095;706;1,573;
477,463;707,093;1,592;
479,51;705,745;1,63;
481,521;706;1,658;
484,502;705,249;1,685;
486;704,5;1,739;
489,245;704;1,793;
494;703;1,832;
