475,264;423,736;1,005;
471,587;428,218;1,022;
467,285;432,715;1,039;
463,858;436,142;1,055;
460,49;440,68;1,072;
457,128;443,872;1,09;
452,343;448,657;1,107;
448;453;1,123;
439,431;459,611;1,139;
435,446;466,439;1,156;
431,422;472,472;1,172;
426,933;478,084;1,189;
421,313;483,687;1,206;
416,96;491,82;1,224;
406,931;499,685;1,241;
402,503;504,497;1,257;
396,902;511,717;1,273;
392,025;519,206;1,29;
384,105;527,033;1,306;
376,098;532,93;1,323;
370,466;540,747;1,34;
364,853;546,147;1,357;
359,25;554,45;1,374;
347,772;562,288;1,392;
342,459;567,541;1,407;
335,728;573,56;1,423;
328,994;580,84;1,44;
318,426;588,702;1,457;
311,558;594,368;1,474;
306,017;601,18;1,49;
299,096;605,269;1,509;
289,504;614,059;1,525;
283,207;620,793;1,541;
276,924;626,396;1,557;
270,198;632,002;1,574;
263,464;636,69;1,591;
253,61;643,26;1,608;
250,509;649,982;1,624;
245,851;655,436;1,642;
239,963;659,629;1,659;
234,5;664;1,676;
228,116;667,589;1,691;
222,917;672,083;1,708;
219,329;676,561;1,725;
216,975;681,05;1,741;
212,486;685,514;1,758;
209,227;688,773;1,774;
205,878;692,122;1,793;
202,508;693,995;1,81;
155;;;
2974;;;
JLAP;;;
;;;
212;399;0; 
247,304;396,212;0,018;
262,191;396;0,034;
275,596;394,867;0,051;
290,328;395;0,068;
304,751;393,635;0,086;
319,5;392,5;0,103;
342,087;393,381;0,118;
361,628;393,741;0,134;
374,455;393,14;0,151;
389,776;393;0,168;
399,942;393;0,184;
411,248;390,55;0,201;
422,46;392,346;0,22;
430,749;393,469;0,236;
440,285;391,413;0,257;
448,98;392,423;0,269;
455,935;393,823;0,285;
462,682;394;0,302;
468,372;394;0,319;
473,983;392,803;0,335;
479,573;395,629;0,352;
482,314;395;0,37;
485,5;395;0,386;
487;396,5;0,418;
488,537;397,268;0,436;
491,065;398,022;0,453;
494,498;399,166;0,485;
496,407;401,407;0,535;
496;403,357;0,569;
494,732;405,536;0,586;
493,933;407,133;0,619;
