292,724;408;0,086;
308,693;408;0,103;
328,736;409,589;0,119;
348,12;410;0,135;
361,77;410;0,152;
374,199;410;0,169;
385,452;411,045;0,185;
397,722;411;0,202;
408,65;411;0,218;
417,066;412,383;0,237;
430,448;412;0,254;
440,257;412;0,269;
448,768;412;0,286;
458,488;411,168;0,302;
465,673;411;0,319;
473,43;411;0,336;
478,874;409,825;0,361;
485,143;410;0,37;
489,58;410;0,387;
494;410;0,404;
495,251;409;0,42;
497,481;409;0,436;
499;409;0,502;
494,817;411,122;0,521;
492,169;412,415;0,537;
490;413,5;0,569;
486,488;416,512;0,587;
484,262;418,738;0,604;
481,06;419,98;0,621;
477,719;423,281;0,637;
475,59;425,41;0,654;
472,044;428,956;0,672;
468,691;432,309;0,689;
464;437;0,705;
461,019;439,981;0,721;
457,676;443,324;0,738;
453,453;447,547;0,754;
448,99;453,012;0,771;
443,442;458,558;0,788;
436,632;464,14;0,806;
432,644;469,695;0,823;
428,177;472,367;0,84;
422,734;476,833;0,856;
418,308;482,365;0,872;
412,262;487,949;0,889;
407,381;494,429;0,906;
402,917;499,083;0,922;
397,373;502,376;0,94;
393,021;508,224;0,955;
385,839;513,8;0,974;
379,174;522,297;0,99;
373,654;527,933;1,006;
368,502;533,498;1,022;
362,95;539,05;1,039;
357,374;545,551;1,056;
349,756;553,244;1,072;
344,234;559,919;1,089;
339,944;564,056;1,107;
335,489;568,51;1,124;
331,031;574,461;1,141;
326,586;580,622;1,156;
320,696;586,586;1,173;
316,504;591,328;1,19;
312,233;594,825;1,206;
307,771;599,229;1,223;
304,487;604,855;1,239;
298,578;610,422;1,257;
293,034;617,359;1,275;
287,5;621;1,291;
284,137;624,863;1,307;
280,055;628,945;1,323;
275,621;633,379;1,34;
271,153;638,808;1,357;
266,715;644,356;1,374;
262,249;651,126;1,39;
256,497;652,601;1,408;
252,352;656,236;1,425;
249,5;659,5;1,442;
246,096;664,539;1,457;
242,746;669,005;1,474;
238,549;673,451;1,491;
234,08;679,88;1,508;
228,553;682,179;1,524;
225,39;684,406;1,541;
222,048;686,635;1,559;
218,718;688,855;1,576;
217;691;1,593;
215,705;693,295;1,614;
214;695;1,657;
212,644;696,356;1,675;
211,889;698,222;1,791;
215,228;699,076;1,809;
